area_code,area_name,district,dong,lat,lon,area_size
3110769,대림차이나타운(대림역 12번),영등포구,대림2동,37.49090798747462,126.8971235493342,35768
3110770,영등포구청역 6번,영등포구,당산1동,37.52289416609549,126.8977131408658,47293
3110771,대림역 11번,영등포구,대림2동,37.49241417100042,126.8988628868371,24375
3110772,신우어린이공원,영등포구,대림3동,37.50309103254976,126.89879193948084,40126
3110773,당산역 13번,영등포구,양평2동,37.53610408406031,126.89915465916857,9756
3110639,신방화역 8번,강서구,방화1동,37.566086019095295,126.8146749940266,97165
3110640,방화역 1번,강서구,방화3동,37.577899580777924,126.81565326249788,79681
3110641,공항고등학교,강서구,방화1동,37.57199300098482,126.81819214306506,67482
3110642,정곡초등학교,강서구,방화3동,37.57792219512261,126.81861923583672,19884
3110786,당산역 8번,영등포구,당산2동,37.53401843325648,126.90478057162831,54674
3110787,신길3동주민센터,영등포구,신길3동,37.50674580845403,126.90568609063068,95882
3110788,영등포시장역 3번,영등포구,영등포동,37.52233352432056,126.90613027820348,10464
3110789,대림성모병원,영등포구,대림1동,37.490681355373276,126.90629428541293,86491
3110810,영신초등학교,영등포구,신길1동,37.51093472393394,126.91666342067874,117632
3110811,보라매역 4번,영등포구,신길6동,37.499141029237336,126.91732113238506,44661
3110812,신길6동주민센터,영등포구,신길6동,37.49780747786807,126.91723213362471,59185
3110604,신월4동주민센터,양천구,신월4동,37.52336983439267,126.83937402800503,150486
3110605,목동센트럴아이파크앞,양천구,신월6동,37.515857213778254,126.8406570017279,38129
3110606,신한은행 신월동지점,양천구,신월4동,37.51989447026174,126.84122532645456,158709
3110607,금빛새마을금고본점,양천구,신월2동,37.520143351645594,126.84545548355003,36823
3110697,개봉3동주민센터,구로구,개봉3동,37.484402313249085,126.85397516427814,81457
3110698,개웅초등학교(개웅중학교),구로구,개봉3동,37.48845594025623,126.85324361249401,131201
3110748,백산초등학교,금천구,시흥5동,37.44853971878937,126.90457258515943,70150
3110620,목동보건지소,양천구,목4동,37.539081745942845,126.86714092211024,177925
3110621,목동역 5번,양천구,목1동,37.525161822788036,126.86761812174178,34475
3110622,달마을공원,양천구,목2동,37.545319284332244,126.8694948546841,90372
3110635,공항시장역 3번,강서구,공항동,37.56413825633674,126.81364982337973,95722
3110636,방화역 2번,강서구,방화1동,37.57418328295361,126.81297954691757,44808
3110637,송정역 2번,강서구,공항동,37.562011915923925,126.81365511965096,86547
3110638,신방화역 2번,강서구,방화1동,37.56875208070871,126.81411374137508,180870
3111026,문정역 2번,송파구,문정1동,37.48402890980623,127.12601152245665,123212
3111027,문정초등학교,송파구,문정1동,37.48862354516316,127.12648283683586,124929
3111025,경찰병원역 3번,송파구,가락2동,37.494156381623775,127.12587022274428,59147
