"area","area_code","category","time","potential","actual","predicted_log","log_actual","gap","gap_log","gap_percentile","repeat_dead","observed_quarters","positive_quarters","activity_eligible","activity_status","potential_definition","existing_dead_candidate","within_area_gap_percentile","peer_gap_percentile","category_n","category_gap_mean","category_baseline","category_gap_sd","category_gap_q1","category_gap_q3","category_gap_iqr","category_time_profile_percentile","industry_common_low","relative_gap","corrected_dead_candidate","dead_time_class","adjustment_definition"
"이북5도청사","3110001","호프-간이주점","17~21",176.96245311796696,53,5.181572590502122,3.9889840465642745,123.96245311796696,1.1925885439378474,0.9156626506024096,2,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",TRUE,0.25,0.9156626506024096,499,-0.35849095540469383,-0.46442497376215286,1.179994832235518,-1.1627425392126929,0.29296280136614916,1.455705340578842,0.25,FALSE,1.6570135177000003,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"이북5도청사","3110001","호프-간이주점","21~24",33.347069574909625,18,3.536516704255086,2.9444389791664403,15.347069574909625,0.5920777250886458,0.9838709677419355,2,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",TRUE,0,0.9838709677419355,497,-2.2537605820405946,-2.3527999622946556,1.1510679562785477,-3.0508553846220687,-1.6481845615780593,1.4026708230440095,0,FALSE,2.9448776873833014,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","00~06",24.94043991511979,48,3.2558031376928307,3.8918202981106265,-23.05956008488021,-0.6360171604177958,NA,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,NA,0.493368700265252,755,-0.307624808395885,-0.6152275521614818,2.0908291352059134,-1.8055515876525057,0.801858897584266,2.6074104852367714,NA,FALSE,-0.02078960825631393,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","06~11",167.50616945868202,885,5.126972363120253,6.786716950605081,-717.493830541318,-1.6597445874848278,0.08685714285714285,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,0.25,0.08685714285714285,876,0.5810384971641568,0.4518522775062994,1.7673791889971926,-0.53058578070148,1.5872596187394725,2.1178453994409523,1,TRUE,-2.111596864991127,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","11~14",1020.0749607269695,12119,6.928611234399079,9.402612259623305,-11098.92503927303,-2.4740010252242266,0.03901895206243032,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,0,0.03901895206243032,898,-0.7158087429347654,-0.7676297071427465,1.107370683645358,-1.4251065103830165,-0.06408154850595293,1.3610249618770636,0,FALSE,-1.7063713180814801,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","14~17",784.0817231536082,3228,6.665787818291926,8.079927770758275,-2443.9182768463916,-1.414139952466349,0.06792873051224944,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,0.5,0.06792873051224944,899,0.21499890671920352,0.19727090991532137,1.1494564831979324,-0.47560278741820516,0.8345302329523929,1.310133020370598,0.75,TRUE,-1.6114108623816703,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","17~21",1872.7531898866903,4931,7.535698751823198,8.503499864284235,-3058.24681011331,-0.9678011124610366,0.13236929922135707,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,0.75,0.13236929922135707,900,0.05921200331028,0.036328283236348735,0.9894270490767146,-0.5177546434236799,0.57134221255061,1.08909685597429,0.5,FALSE,-1.0041293956973854,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","한식음식점","21~24",353.5962804596188,426,5.870979904187515,6.056784013228625,-72.40371954038119,-0.18580410904110956,0.4409448818897638,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,1,0.4409448818897638,890,0.13273723810108234,-0.031514364901909175,1.3029735808639185,-0.6436033053072512,0.6638089320034175,1.3074122373106687,0.25,FALSE,-0.15428974413920038,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","커피-음료","00~06",11.444607854281688,0,2.521287425020298,0,11.444607854281688,2.521287425020298,NA,0,4,0,FALSE,"활동 확인 불가","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,NA,NA,218,0.8824374082886997,0.8692298411288064,2.3027105442896363,-0.7349151504543008,2.748217387399582,3.4831325378538827,NA,FALSE,1.6520575838914917,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
"독립문역 1번","3110002","커피-음료","06~11",79.83876783902075,1393,4.392456650447721,7.2399325913204695,-1313.1612321609794,-2.847475940872749,0.34049079754601225,0,4,4,TRUE,"분석 가능","로그선형모형 기반 상대적 소비 기대수준(정확한 미래 매출 예측값 아님)",FALSE,0,0.34049079754601225,653,-1.8038436094638801,-2.172427202089813,2.0064738593109133,-3.172962493695583,-0.9297314708792204,2.2432310228163628,0,FALSE,-0.6750487387829356,FALSE,"정상 시간대","기존후보 AND 상권내 5개 비심야 시간 중 gap 상위 2개(백분위≥0.75) AND 동일업종·동일시간대 gap 상위10%·중앙값 초과"
